group,LitterThickness,LitterCoverage,SoilMoisture,pH,EC
1,7.18,95,16,4.75,23.4
1,7.44,100,32,5.46,27.3
2,1.38,90,26,4.74,47.3
2,3.38,90,10,4.92,26.8
2,10,100,11,4.53,23.5
2,11.02,70,24,5.25,20.8
2,6.86,100,16,5.01,16
2,5.7,100,19,4.76,34.3
2,5.16,100,10,4.98,35.4
2,8.5,100,11,4.31,51.6
2,4.02,100,13,5.6,33.8
2,3.6,100,26,5.94,42.2
3,2.66,90,6,4.71,52
3,4.18,100,8,4.75,36.2
3,5.58,100,21,4.62,21.4
3,2,50,5,4.81,48.7
3,2.48,60,7,5.08,46.2
3,3.8,90,8,6.32,28.4
3,3.08,70,8,5.93,39.9
3,3,90,6,5.41,61.9
3,4.34,95,15,4.95,62.8
